x,y
18.507305,73.806131
18.508689,73.806131
18.509299,73.805916
18.509848,73.805981
18.512941,73.806024
18.512941,73.803492
18.512453,73.802032
18.512283,73.800424
18.511964,73.798943
18.511822,73.798749
18.513429,73.79817
18.514813,73.797483
18.514854,73.796818
18.515342,73.796067
18.515688,73.795896
18.516115,73.795788
18.517377,73.79581
18.518394,73.794222
18.519696,73.795595
18.520551,73.796153
18.523155,73.799028
18.523643,73.800831
18.523888,73.802118
18.524172,73.80259
18.524091,73.80362
18.524539,73.804607
18.524591,73.808944
18.524783,73.809571
18.524094,73.811088
18.524295,73.81259
18.525454,73.814199
18.526166,73.814886
18.524172,73.817761
18.523237,73.818169
18.5211,73.822246
18.520388,73.823254
18.520063,73.824456
18.519208,73.827052
18.517133,73.826108
18.516278,73.824906
18.514894,73.824649
18.514813,73.824306
18.513674,73.824263
18.513429,73.824048
18.511964,73.824048
18.511151,73.824391
18.51054,73.824563
18.509706,73.825486
18.507627,73.826341
18.507684,73.827277
18.506822,73.827609
18.506329,73.826702
18.505942,73.825421
18.506104,73.82467
18.507395,73.823462
18.508282,73.822739
18.509584,73.821495
18.510377,73.820529
18.510479,73.820035
18.510479,73.819048
18.510418,73.818233
18.50995,73.815637
18.509665,73.814692
18.509563,73.813834
18.50934,73.811817
18.508404,73.810508
18.508119,73.809135
18.507346,73.807611
18.507305,73.806131
